"CVEGEO_origin","CVEGEO_destination","proxy_uso"
"130360034","13036002A",2
"1303700010154","13037007A",1
"130370027","1304800010213",1
"130370031","1308100010114",1
"130370050","13020002A",1
"13038001A","1304800012864",1
"13038001A","130520023",1
"1303900010055","130390017",1
"1303900010074","1301200010136",1
"1303900010093","1303900010074",2
"1303900010093","130390017",1
"1303900010093","1305100041077",1
"1303900010106","1305100101128",1
"1303900010110","1303900010074",1
"1303900010110","1303900010106",1
"1303900010125","1303900010089",1
"1303900010125","1305100291202",1
"130390001013A","1304800010961",1
"130390017","1303900010106",2
"130400022","1303100010076",1
"130400037","1303100010080",1
"1304100010072","1304100010138",1
"1304100010072","1304100010157",1
"1304100010087","1304100010161",1
"1304100010087","130410119",2
"1304100010091","13041002A",1
"1304100010091","1304800012154",1
"1304100010091","1307600080701",1
"1304100010138","1304100010208",1
"1304100010142","1304100010157",1
"1304100010142","1304100010180",1
"1304100010142","13041002A",1
"1304100010142","130410119",1
"1304100010142","1307600010400",1
"1304100010157","1304100010176",1
"1304100010157","1304800010745",1
"1304100010161","130100324",1
"1304100010161","1307600080608",1
"1304100010161","130760025",1
"1304100010176","130500029",1
"1304100010180","1301000010023",1
"1304100010180","1304100010072",1
"1304100010180","1304100010161",1
"1304100010180","1304100010195",1
"1304100010180","1304100010208",1
"1304100010180","13041002A",1
"1304100010180","1305000010067",1
"1304100010195","130190029",1
"1304100010208","1302300120055",2
"1304100010208","1304100010138",1
"1304100010208","1304100010161",1
"1304100010208","1304100010180",2
"1304100010208","130410015",1
"130410015","130410015",2
"13041002A","130230017",1
"13041002A","13030005A",1
"13041002A","1304100010072",2
"13041002A","1304100010176",1
"13041002A","1304100010180",1
"13041002A","130410015",1
"13041002A","13041002A",9
"13041002A","1305000010048",1
"13041002A","1305000010052",1
"13041002A","130550025",1
"130410119","1303000350469",1
"130410119","1304100010087",2
"130410119","1305000010067",1
"1304200010084","1304800010590",1
"1304200010099","130790050",1
"1304200010101","1304200010084",1
"1304200010101","130420027",1
"130420012","13034003A",1
"130420027","13034003A",1
"130420027","130680038",1
"13043001A","1304300010058",1
"13043001A","130840046",1
"130430043","130430043",1
"130440001006A","13029003A",1
"130440017","130290063",1
"130440017","130290078",1
"130440017","130440017",1
"130440021","1304400010055",1
"130440021","130440017",2
"130440036","130170039",3
"130440036","130440036",4
"130440036","1306300010262",1
"1304500010033","130120066",1
"1304500010048","130450029",1
"1304500010052","130120066",1
"130450014","1301200010136",1
"130450014","130120013",1
"130450014","130450014",3
"130480001004A","1304800010590",1
"130480001004A","1304800011936",1
"1304800010054","1304800012722",1
"1304800010069","1305100961700",1
"1304800010105","1304800012417",1
"1304800010105","1304800012510",1
"130480001011A","1304800010143",1
"130480001011A","1304800010196",1
"130480001011A","1304800010618",1
"130480001011A","1304800012347",1
"130480001011A","1304800012370",1
"130480001011A","130750013_Q",1
"1304800010124","130480001004A",1
"1304800010124","1304800010105",4
"1304800010124","1304800011512",1
"1304800010124","1305101061734",1
"1304800010124","1305101321861",1
"1304800010139","1304800010124",2
"1304800010139","1304800010919",2
"1304800010139","1304800010938",1
"1304800010139","1304800010980",1
"1304800010139","1304800012614",1
"1304800010143","1305100201170",1
"1304800010158","130390017",1
"1304800010158","1304800010355",1
"1304800010158","1304800011071",1
"1304800010158","130510562_A",1
"1304800010162","1304800010213",1
"1304800010162","1304800011601",1
"1304800010162","1304800012493",1
"1304800010162","1304800012544",1
"1304800010177","13036002A",1
"1304800010177","130480001004A",1
"1304800010177","1304800010285",2
"1304800010177","1304800011052",1
"1304800010177","1304800011438",1
"1304800010177","1304800012120",1
"1304800010177","130480001214A",1
"1304800010177","1304800012652",1
"1304800010196","1304800010285",1
"1304800010196","1304800011245",1
"1304800010196","1304800011387",1
"1304800010196","1304800011546",1
"1304800010196","130510577_Z",1
"1304800010209","1304800010054",1
"1304800010209","1304800011419",1
"1304800010209","1304800012417",1
"1304800010209","1305101081414",1
"1304800010209","1305101091429",1
"1304800010213","1304800010406",1
"1304800010213","1304800010425",1
"1304800010213","1304800010976",1
"1304800010213","1305101181166",1
"1304800010213","1305101471630",1
"1304800010213","1308300230284",1
"1304800010228","1304800010139",1
"1304800010228","1304800010779",1
"1304800010228","1304800012347",2
"1304800010228","1305101011359",1
"1304800010247","1304800010177",1
"1304800010247","1304800010213",1
"1304800010247","1308301020161",1
"1304800010251","1304800010162",1
"1304800010251","1304800010355",1
"1304800010251","1304800010586",1
"1304800010251","1304800010980",2
"1304800010251","1304800011048",1
"1304800010251","1304800011419",1
"1304800010251","1304800012722",1
"1304800010251","1305100141147",1
"1304800010251","1305101241490",1
"1304800010251","130510139158A",1
"1304800010251","1306900080213",1
"1304800010285","1304800010139",1
"1304800010285","1304800010196",1
"1304800010285","1304800010228",2
"1304800010285","1304800011457",1
"1304800010285","1305100041077",1
"1304800010355","1304800010209",1
"1304800010355","1304800010976",1
"1304800010355","130480001100A",1
"1304800010355","1305100270666",1
"130480001036A","1304800010177",1
"130480001036A","1304800010980",1
"130480001036A","1304800011936",1
"130480001036A","1304800012347",1
"1304800010389","1304800010162",1
"1304800010389","1304800010478",1
"1304800010389","1304800010923",3
"1304800010389","1304800010995",1
"1304800010389","1304800011423",1
"1304800010406","1304800010105",1
"1304800010406","1304800010406",1
"1304800010406","1304800010425",1
"1304800010406","1304800010444",2
"1304800010406","1304800010548",1
"1304800010406","1304800010618",1
"1304800010406","1304800011936",1
"1304800010406","1304800012648",1
"1304800010406","1305100010204",1
"1304800010425","1303900010074",1
"1304800010425","130480001004A",1
"1304800010425","1304800010406",1
"1304800010425","1304800012417",1
"1304800010425","130510577_Z",1
"1304800010425","13057002A",1
"1304800010444","1304800010251",1
"1304800010478","1304800010923",1
"1304800010478","1304800010942",2
"1304800010478","1304800012667",1
"1304800010529","1304800010529",2
"1304800010529","1304800010764",1
"1304800010529","1304800011052",1
"1304800010529","1304800011508",1
"1304800010529","1304800012347",1
"1304800010529","1305101301842",1
"1304800010529","130750013_Q",1
"1304800010529","1307700010501",1
"1304800010529","1308301330439",1
"1304800010548","130220024",1
"1304800010548","1304800010548",1
"1304800010548","1304800012493",1
"1304800010548","130510107140A",1
"1304800010548","1305101482111",1
"1304800010586","1305100961700",1
"1304800010586","1305101311857",1
"1304800010586","1305101411895",1
"1304800010586","130760010",1
"1304800010586","1308200020215",2
"1304800010586","130820022_S",1
"1304800010590","1304800010529",1
"1304800010590","1304800011423",1
"1304800010603","1304800010105",1
"1304800010603","1304800010976",3
"1304800010603","1304800011423",1
"1304800010603","130700017_G",1
"1304800010618","1304800010618",1
"1304800010618","1304800011156",2
"1304800010618","1304800012775",1
"1304800010618","130510078165A",1
"1304800010618","1305100961700",2
"1304800010622","13022001A",1
"1304800010622","1304800010783",1
"1304800010622","1304800011052",4
"1304800010622","1304800012328",1
"1304800010622","1304800012934",1
"1304800010622","1305100981715",1
"1304800010745","1304100010157",1
"1304800010745","1304800010957",1
"1304800010745","1304800011387",1
"1304800010745","1304800012192",1
"130480001075A","1304800011052",1
"1304800010764","1300300010226",1
"1304800010764","130210012",1
"1304800010764","130480001011A",1
"1304800010764","1304800010158",2
"1304800010764","1304800010779",1
"1304800010764","1304800010783",1
"1304800010764","1304800010976",1
"1304800010764","1304800011048",1
"1304800010764","1304800011391",1
"1304800010764","1304800011550",1
"1304800010764","1306900080213",1
"1304800010764","130830072",1
"1304800010779","1304800010764",2
"1304800010779","1304800011550",1
"1304800010779","1304800012328",1
"1304800010779","1304800012510",1
"1304800010779","1305100291202",1
"1304800010779","1305100842376",1
"1304800010783","1300300120086",1
"1304800010783","13030005A",1
"1304800010783","1304800011156",1
"1304800010783","1304800012489",2
"1304800010783","1308301330335",1
"1304800010783","130840084",1
"1304800010815","1304800010834",1
"130480001082A","1304800010586",1
"1304800010834","1305100270967",1
"1304800010872","130480001004A",1
"1304800010872","1304800010622",1
"1304800010891","1304800010228",1
"1304800010919","1304800010389",1
"1304800010919","1304800010478",1
"1304800010919","1304800010815",1
"1304800010919","1304800010961",1
"1304800010919","1304800011052",1
"1304800010919","1304800011917",1
"1304800010919","1304800012188",1
"1304800010919","1304800012370",2
"1304800010919","1304800012652",2
"1304800010919","130480001285A",1
"1304800010919","1305100831950",1
"1304800010923","1304800010389",3
"1304800010923","1304800012135",1
"1304800010923","130480020_V",1
"1304800010923","1305100270702",1
"1304800010923","1305100981715",2
"1304800010938","1304800010745",1
"1304800010938","1304800012154",1
"1304800010942","1304800010444",1
"1304800010942","1304800010478",2
"1304800010942","1304800012101",1
"1304800010942","1305101471630",1
"1304800010957","1304800010285",1
"1304800010961","1304800010942",1
"1304800010961","1304800010957",1
"1304800010961","1304800011565",1
"1304800010961","130480270",1
"1304800010976","1304800010764",1
"1304800010976","1304800010919",2
"1304800010976","1304800010995",1
"1304800010976","1304800011550",1
"1304800010976","1304800012366",1
"1304800010976","1305101111753",1
"1304800010976","1305101181166",2
"1304800010976","1305101451912",1
"1304800010976","1305101461626",1
"1304800010976","1305101482268",1
"1304800010976","130830068_M",1
"1304800010980","1304800010938",2
"1304800010980","130480001214A",1
"1304800010980","130480270",1
"1304800010980","1305101482215",1
"1304800010980","130510577_Z",1
"1304800010995","1304800010247",1
"1304800010995","1304800012351",1
"130480001100A","130030033",1
"130480001100A","1304800013063",1
"130480001100A","1304800013082",2
"130480001100A","1305100971325",1
"130480001100A","1305101482107",1
"1304800011048","1304800010162",1
"1304800011048","1304800010764",1
"1304800011048","1304800012347",1
"1304800011048","1304800012915",1
"1304800011048","1305100270721",1
"1304800011048","130810010",1
"1304800011048","130820022_S",1
"1304800011052","1304800010162",1
"1304800011052","1304800010529",3
"1304800011052","1304800010919",2
"1304800011052","1304800011940",1
"1304800011067","1304800012347",1
"1304800011067","1305100201170",1
"1304800011067","1305101011359",1
"1304800011071","1305100971325",1
"1304800011090","130570015",1
"1304800011118","1304800011048",1
"1304800011118","1305100781679",1
"1304800011118","130520023",1
"1304800011118","13083002A",1
"1304800011122","130070013",1
"1304800011122","1304800010389",1
"1304800011122","1304800010478",1
"1304800011122","1304800011940",1
"1304800011122","1304800012915",1
"1304800011122","130480020_V",1
"1304800011137","1304800010247",1
"1304800011137","1304800010478",1
"1304800011137","1304800010919",1
"1304800011137","1304800010957",1
