"CVEGEO","POB1"
"1301300330523",NA
"1301300330538",NA
"1301300330542",NA
"1301400010056",614
"1301400010075",756
"130140001008A",558
"1301400010094",1033
"1301400010107",838
"1301400010111",235
"1301400010126",55
"1301400010130",122
"1301400010145",24
"1301400100041",2430
"1301500010087",755
"1301600010050",4328
"1301600010065",2278
"1301600010084",1415
"1301600010099",1245
"1301600010101",1384
"1301600010116",1941
"1301600010120",3168
"1301600010135",NA
"1301600010188",318
"1301600010192",277
"1301600010309",1330
"1301600010313",2060
"1301600010347",786
"1301600210281",1535
"1301600210296",1539
"1301600290262",1534
"1301600290277",1486
"1301600390328",1789
"1301600390332",1221
"1301700010043",818
"1301700010058",914
"1301700010062",225
"1301700010077",37
"1301700010081",12
"1301800010055",1758
"130180001006A",2197
"1301800010074",99
"1301900010033",626
"1301900010048",248
"1301900010052",156
"1301900010067",231
"1301900150086",1491
"1301900150090",1021
"1302000010068",247
"1302000010072",202
"1302000010087",152
"1302100010050",379
"1302100010065",2119
"130210001007A",1922
"1302100010084",408
"1302100010101",1872
"1302100010116",1626
"1302100010135",1021
"130210001014A",72
"1302100010154",69
"1302100010169",54
"1302100010173",27
"1302100010188",15
"1302200010058",1324
"1302200010062",950
"1302200010077",940
"1302200010081",96
"1302300010036",4483
"1302300010040",2763
"130230001006A",1319
"1302300010074",1237
"1302300010089",1533
"1302300120055",3811
"1302300140093",1587
"1302300140106",252
"1302300140110",2373
"1302300140125",1803
"1302300140144",27
"1302300140159",3
"1302400010052",249
"1302400010067",168
"1302500010030",537
"1302500010064",1772
"1302500010083",155
"1302500010098",663
"1302500010100",651
"1302500010115",21
"130250001012A",7
"1302600010023",770
"1302700010092",1067
"1302700010105",1781
"130270001011A",145
"1302700340088",2108
"1302800010136",925
"1302800010189",1672
"1302800010193",1955
"1302800010206",1525
"1302800010210",2700
"1302800010244",2230
"1302800010259",1772
"1302800010263",2614
"1302800010314",3478
"1302800010329",2196
"1302800010437",2598
"1302800010441",1728
"1302800010475",1526
"130280001048A",1910
"1302800010494",2092
"1302800010507",2704
"1302800010526",1554
"1302800010545",1661
"130280001055A",1199
"1302800010583",1775
"1302800010598",2166
"130280001062A",78
"1302800010634",717
"1302800010649",1485
"1302800010653",31
"1302800010668",8
"1302800010672",12
"1302800230333",881
"1302800230348",1034
"1302800230352",724
"1302800230367",672
"1302800230390",49
"1302800230687",9
"1302800420564",2162
"1302800420579",1614
"1302800420600",69
"1302800420615",18
"1302800880456",1401
"1302800880460",1589
"1302800880530",82
"130290001010A",2975
"1302900010114",4431
"1302900010256",1174
"1302900010260",1273
"1302900240129",1334
"1302900240167",517
"1302900240190",358
"1302900240237",732
"1302900240241",605
"1302900290148",459
"1302900290152",590
"1302900290171",160
"1302900290218",731
"1302900290222",948
"1302900290275",32
"1302900290294",8
"1302900290307",423
"1302900290311",128
"1303000010083",2247
"1303000010115",857
"1303000010134",1765
"1303000010172",839
"1303000010187",1280
"1303000010204",1738
"1303000010219",2362
"1303000010223",3451
"1303000010238",2930
"1303000010242",3521
"1303000010280",582
"1303000010295",418
"1303000010327",3861
"1303000010331",1706
"1303000010346",2287
"1303000010350",1984
"1303000010365",1116
"130300001037A",1625
"1303000010384",1365
"1303000010399",1674
"1303000350435",1036
"130300035044A",1125
"1303000350454",1479
"1303000350469",102
"1303000480401",1140
"1303000480416",1128
"1303000480420",1114
"1303100010076",2118
"1303100010080",1717
"1303100010095",36
"1303100010108",45
"1303100010112",205
"1303100010127",290
"1303100010131",171
"130320001004A",1462
"1303200010054",1701
"1303200010069",1110
"1303200010073",1638
"1303200010088",8
"1303300010032",319
"1303300010047",257
"1303300010051",40
"1303400010044",590
"1303500010037",2199
"1303500010056",49
"1303600010053",693
"1303600010068",1095
"1303700010154",1496
"1303700010169",17
"1303700010188",1129
"1303700010192",632
"1303800010039",483
"1303800010043",31
"1303800010058",19
"1303900010055",810
"130390001006A",225
"1303900010074",2698
"1303900010089",1677
"1303900010093",1071
"1303900010106",916
"1303900010110",1630
"1303900010125",963
"130390001013A",1159
"1304000010041",546
"1304100010072",2454
"1304100010087",1812
"1304100010091",874
"1304100010104",1059
"1304100010138",2896
"1304100010142",4083
"1304100010157",2437
"1304100010161",3159
"1304100010176",2516
"1304100010180",2604
"1304100010195",1301
"1304100010208",2474
"1304100010212",17
"1304100010227",27
"1304100100231",3185
"1304100100246",NA
"1304200010065",48
"130420001007A",1564
"1304200010084",1294
"1304200010099",1288
"1304200010101",801
"1304300010058",404
"1304400010040",96
"1304400010055",928
"130440001006A",131
"1304500010033",643
"1304500010048",331
"1304500010052",76
"1304600010083",656
"1304600010172",166
"1304600010276",1564
"1304600010295",832
"1304600010308",1535
"1304600010312",896
"1304600010327",1388
"1304600040115",222
"130460004012A",931
"1304600040191",726
"1304600040223",868
"1304600040238",1390
"1304600270098",784
"1304600270100",372
"1304600270242",1231
"1304600270257",1498
"1304600270331",63
"1304700010061",283
"1304700010076",215
"1304700010080",42
"1304700010095",0
"130480001004A",2436
"1304800010054",2672
"1304800010069",2930
"1304800010105",2393
"130480001011A",1505
"1304800010124",1590
"1304800010139",1126
"1304800010143",2133
"1304800010158",2976
"1304800010162",5201
"1304800010177",3057
"1304800010196",1478
"1304800010209",1342
"1304800010213",1246
"1304800010228",2357
"1304800010247",1028
"1304800010251",2539
"1304800010285",2414
"1304800010355",1754
"130480001036A",1981
"1304800010389",3359
"1304800010406",3179
"1304800010425",1692
"1304800010444",1547
"1304800010478",4944
"1304800010529",1715
"1304800010548",212
"1304800010586",1994
"1304800010590",2817
"1304800010603",2104
"1304800010618",3256
"1304800010622",2299
"1304800010694",696
"1304800010726",NA
"1304800010745",2802
"130480001075A",0
"1304800010764",2894
"1304800010779",780
"1304800010783",2771
"1304800010815",1816
"130480001082A",2284
"1304800010834",1391
"1304800010849",1086
"1304800010853",2153
"1304800010868",1790
"1304800010872",1063
"1304800010891",1984
"1304800010904",1692
"1304800010919",3373
"1304800010923",2762
"1304800010938",1409
"1304800010942",2915
"1304800010957",1188
"1304800010961",2106
"1304800010976",1586
"1304800010980",2786
"1304800010995",4035
"130480001100A",3054
"1304800011014",NA
"1304800011048",2441
"1304800011052",4039
"1304800011067",1860
"1304800011071",1421
"1304800011090",2255
"1304800011118",2722
"1304800011122",3004
"1304800011137",2456
"1304800011156",2863
"130480001118A",1531
"1304800011194",1811
"1304800011207",NA
"1304800011211",NA
"1304800011226",NA
"1304800011245",2499
"1304800011264",1495
"1304800011279",83
"1304800011283",159
"1304800011298",1280
"1304800011300",916
"1304800011315",239
"1304800011349",353
"1304800011353",114
"1304800011372",1113
"1304800011387",1560
"1304800011391",1387
"1304800011404",1068
"1304800011419",2768
"1304800011423",515
"1304800011438",1837
"1304800011442",559
"1304800011457",449
"1304800011476",461
"1304800011480",118
"1304800011508",2353
"1304800011512",904
"1304800011527",2517
"1304800011531",2993
"1304800011546",1976
"1304800011550",638
"1304800011565",2041
"1304800011599",2532
"1304800011601",1928
"1304800011847",0
"1304800011917",449
"1304800011921",437
"1304800011936",1825
"1304800011940",2475
"1304800011955",1279
"130480001196A",1995
"1304800011974",1233
"1304800011989",1956
"1304800011993",1938
"1304800012008",1772
"1304800012031",696
"1304800012046",979
"1304800012050",651
"1304800012101",2081
"1304800012116",1123
"1304800012120",3710
"1304800012135",2131
"130480001214A",1995
"1304800012154",1794
"1304800012169",2500
"1304800012173",1656
"1304800012188",1967
"1304800012192",3757
"1304800012239",202
"1304800012243",171
"1304800012258",85
"1304800012262",1186
"1304800012313",106
"1304800012328",1129
"1304800012332",1139
"1304800012347",2074
"1304800012351",1784
"1304800012366",2208
"1304800012370",1250
"1304800012385",1562
"130480001239A",1140
"1304800012402",1254
"1304800012417",652
"1304800012421",938
"1304800012436",453
"1304800012440",1104
"1304800012455",490
"130480001246A",196
"1304800012474",1495
"1304800012489",349
"1304800012493",2042
"1304800012506",1384
"1304800012510",1168
"1304800012525",918
"130480001253A",1481
"1304800012544",1398
"1304800012559",522
"1304800012563",1783
"1304800012578",742
"1304800012582",1366
"130480001260A",564
"1304800012614",250
"1304800012629",774
"1304800012633",1026
"1304800012648",3219
"1304800012652",3547
"1304800012667",2918
"1304800012722",101
"1304800012737",764
"1304800012741",1139
"1304800012756",300
"1304800012760",793
"1304800012775",916
"130480001278A",230
"1304800012794",15
"1304800012807",454
"1304800012811",680
"1304800012826",142
"1304800012830",479
"1304800012845",2715
"130480001285A",1376
"1304800012864",75
"1304800012883",562
"1304800012915",1095
"130480001292A",2455
"1304800012934",1820
"1304800012949",15
"1304800012953",201
"1304800012968",0
"1304800012972",507
"1304800013006",31
"1304800013010",444
"1304800013025",318
"130480001303A",451
"1304800013044",254
"1304800013059",138
"1304800013063",797
"1304800013078",2041
"1304800013082",107
"1304800013097",135
"130480001310A",953
"1304800013114",1455
"1304800013129",472
"130480153164A",NA
"1304801532898",1037
"1304801532900",2203
"1304801532991",54
"1304801580571",87
"1304801580656",7
"1304801580711",21
"1304801582686",966
"1304801582690",1644
"1304801582703",865
"1304801582718",1096
"1304801582987",26
"1304900010047",927
"1304900010051",1223
"1304900010066",150
"1304900010070",24
"1304900010085",104
"1305000010048",3851
"1305000010052",5318
"1305000010067",2586
"1305000010071",311
"1305000010090",4036
"1305000010103",1600
"1305000010137",16
"1305000030118",1444
"1305000030122",1223
"1305100010153",132
"1305100010168",3644
"1305100010187",620
"1305100010191",2055
"1305100010204",2399
"1305100010581",223
"1305100011005",31
"1305100012041",199
"1305100012126",256
"1305100030219",1570
"1305100030223",1750
"1305100032094",1157
"1305100041077",1649
"1305100041109",793
"1305100101113",1447
"1305100101128",1491
"1305100121132",995
"1305100141147",666
"1305100141151",2733
"1305100201170",602
"1305100231185",1861
"130510026119A",819
"1305100270115",138
"1305100270666",2338
"1305100270670",3468
"1305100270685",1849
"130510027069A",1924
"1305100270702",2539
"1305100270717",2797
"1305100270721",2262
"1305100270736",2160
"1305100270929",528
"1305100270933",45
"1305100270952",201
"1305100270967",605
"130510027101A",0
"1305100271062",606
"1305100271081",47
"1305100271096",0
"1305100271965",815
"130510027197A",0
"1305100272060",383
"1305100291202",1958
"1305100541217",722
"1305100551221",2778
"1305100591927",12
"1305100601236",297
"1305100631240",2213
"1305100631255",2105
"130510063126A",1261
"130510078165A",2524
"1305100781664",2155
"1305100781679",1991
"1305100831931",1714
"1305100831946",1206
"1305100831950",2669
"1305100831984",930
"1305100831999",235
"1305100842357",1313
"1305100842361",1332
"1305100842376",1917
"1305100901274",522
"1305100911289",841
"1305100921683",604
"1305100931293",2834
"1305100931306",3028
"1305100941310",368
"1305100951698",1867
"1305100961700",3021
"1305100971325",207
"1305100981715",629
"130510099172A",4027
"130510100133A",1950
"1305101002003",123
"1305101002018",16
"1305101002022",572
"1305101002056",103
"1305101002075",54
"1305101011344",889
"1305101011359",1018
"1305101021363",55
"1305101031378",445
"1305101041382",583
"1305101051397",438
"1305101061734",2026
"130510107140A",3003
"1305101081414",1726
"1305101091429",287
"1305101101749",257
"1305101111753",726
"1305101121433",259
"1305101131448",1245
"1305101141452",112
"1305101151768",296
"1305101161772",160
"1305101171787",383
"1305101181166",457
"1305101191467",1055
"1305101201471",593
"1305101211486",567
"1305101221791",451
"1305101231804",577
"1305101241490",464
"1305101251819",295
"1305101261823",1097
"1305101271838",573
"1305101281503",392
"1305101291518",325
"1305101301842",1406
"1305101311857",454
"1305101321861",368
"1305101331522",1814
"1305101341876",1058
"1305101351537",506
"1305101361541",773
"1305101371556",762
"1305101381880",1440
"1305101391560",2787
"1305101391575",2154
"130510139158A",3380
"1305101392037",1910
"130510139208A",86
"1305101401594",452
"1305101411895",2155
"1305101421908",1877
"1305101431607",785
"1305101441611",298
"1305101451912",209
"1305101461626",2501
"1305101471630",1815
"1305101471645",3293
"1305101482107",1091
"1305101482111",1019
"1305101482130",1129
"1305101482145",1409
"130510148215A",1451
"1305101482164",810
"1305101482179",400
"1305101482183",2340
"1305101482198",2072
"1305101482200",1227
"1305101482215",1035
"130510148222A",956
"1305101482234",635
"1305101482249",1050
"1305101482253",899
"1305101482268",1008
"1305101482272",1142
"1305101482287",481
"1305101482291",666
"1305101482304",1203
"1305101482408",NA
"1305101482412",NA
"1305101482427",NA
"1305101482431",NA
"1305101482446",NA
"1305101482450",NA
"1305101512319",3747
"1305101512323",723
"1305101512338",366
"1305101512342",319
"1305101522380",1657
"1305101522395",2981
"1305200010095",2000
"1305200010108",155
"1305200010112",295
"1305200010235",40
"130520001024A",181
"1305200010254",94
"1305200010269",2170
"1305200010273",2099
"1305200010288",2576
"1305200010292",2689
"1305200010305",29
"130520019031A",1845
"1305200190324",1225
"1305300010073",1216
"1305300010088",922
"1305300010092",35
"1305300010105",562
"130530001011A",29
"1305400010047",1107
"1305400190102",3607
"1305400320136",1472
"1305400320140",1617
"1305500010063",249
"1305500010097",803
"130550001010A",607
"1305500010133",707
"1305500010148",310
"1305500170114",1328
"1305500170129",1250
"1305600010037",190
"1305600010075",665
"130560001008A",2545
"1305600010107",316
"1305600010111",175
"1305600010126",29
"1305600010183",1483
"1305600010200",3038
"1305600010215",2344
"130560001022A",2122
"1305600010234",2386
"1305600010249",247
"1305600010287",145
"1305600010291",701
"1305600010304",1063
"1305600050164",1324
"1305600050179",2148
"1305600360253",1247
"1305600360268",1133
"1305600360272",2598
"1305600360319",126
"1305700010072",2208
"1305700010087",2149
"1305700010091",124
"1305700010104",289
"1305700010119",35
"1305800010065",1514
"130580001007A",1294
"1305800010101",1089
"1305800010116",43
"1305800010120",25
"1305800010135",65
"1305900010039",2141
"1305900010109",1279
"1305900010113",1109
"1305900010128",1126
"1305900010132",665
"1305900010147",381
"130600001003A",2614
"1306100010253",515
"1306100010268",147
"1306100010304",2962
"1306100010319",2649
"1306100010323",2322
"1306100010357",2115
"1306100010554",5
"1306100010569",113
"1306100010573",2352
"1306100010588",655
"130610001061A",30
"1306100010624",52
"1306100010677",1395
"1306100010681",1056
"1306100020107",59
"1306100020126",0
"1306100020249",624
"1306100020287",211
"1306100020361",1451
"1306100020376",1219
"1306100020380",986
"1306100020395",800
"1306100020408",525
"1306100020412",1983
"1306100020427",1813
"1306100020431",1320
"1306100020446",1315
"1306100020450",1678
"1306100020465",1495
"130610002047A",1555
"1306100020484",2343
"1306100020499",725
"1306100020501",22
"1306100020516",1048
"1306100020520",1427
"1306100020535",1393
"130610002054A",702
"1306100020639",1206
"1306100020643",852
"1306100020658",2145
"1306100020662",2840
"1306100020696",0
"1306200010068",1373
"1306200250053",2241
"1306300010084",3444
"1306300010101",241
"1306300010116",1302
"1306300010120",1770
"130630001014A",362
"1306300010239",649
"1306300010258",4228
"1306300010262",1694
"1306300010277",3688
"1306300010281",4754
"1306300010309",1427
"1306300010328",2232
"1306300010351",383
"1306300010370",2220
"1306300010385",2087
"1306300010440",48
"1306300010455",67
"130630001046A",26
"1306300010629",2031
"1306300010633",3021
"1306300010667",177
"1306300010671",767
"130630006039A",222
"1306300060402",249
"1306300060474",90
"1306300060489",77
"1306300060544",1242
"1306300060559",1074
"1306300060563",1325
"1306300060578",1306
"1306300060582",15
"1306300060597",11
"1306300090493",1061
"1306300090506",2141
"1306300090510",1101
"130630009060A",48
"1306300090614",11
"1306300110154",4091
"1306300110417",140
"1306300200525",3670
"130630020053A",2114
"1306300210648",2519
"1306300210652",1557
"1306400010043",717
"1306400010058",300
"1306400010062",31
"1306400010077",8
"1306500010055",2595
"130650001006A",632
"1306500010089",1647
"1306500010093",1511
"1306500010106",1029
"1306500010110",943
"1306500010159",615
"130650001020A",134
"1306500010214",35
"1306500010233",4
"1306600010029",1824
"1306600010048",3015
"1306600010137",1090
"1306600010141",259
"1306600010156",25
"1306600080118",1862
"1306600080122",893
"1306700010399",2755
"1306700010401",2643
"1306700030492",1305
"1306700030505",2024
"130670003051A",1302
"1306700050469",2632
"1306700050473",1000
"1306700050488",2631
"1306700060435",3990
"1306700080416",1693
"1306700080420",3368
"130670009044A",4185
"1306700090454",3613
"1306700100539",3062
"1306700200524",986
"1306800010042",1731
"130690001004A",167
"1306900010054",276
"1306900010069",2779
"1306900010073",2986
"1306900010088",2764
"130690001011A",2544
"1306900010158",2018
"1306900010162",2245
"1306900010177",4172
"1306900010228",3917
"1306900010232",2478
"1306900010247",8
"1306900010251",42
"1306900010266",147
"130690001029A",1704
"1306900010317",5665
"1306900010321",3164
"1306900010336",2790
"1306900010340",2872
"1306900010355",7176
"1306900010374",1745
"1306900010393",1613
"1306900010406",3066
"1306900010463",65
"1306900010891",84
"1306900010980",1834
"130690001100A",796
"1306900011014",1148
"1306900020482",1296
"1306900020497",1066
"130690002050A",1919
"1306900020514",956
"1306900020904",29
"1306900020919",437
"1306900020923",2
"1306900020957",1324
"1306900021283",NA
"1306900051048",981
"1306900051052",645
"1306900051067",716
"1306900051071",1706
"1306900051086",1227
"1306900051090",1334
"1306900051103",1189
"1306900051118",1602
"1306900051122",587
"1306900080213",2228
"130690008043A",1797
"1306900080444",1780
"1306900100529",1129
"1306900100533",1797
"1306900190410",4623
"1306900190425",2368
"1306900190478",55
"1306900190938",853
"1306900190976",462
"1306900420548",986
"1306900420552",1622
"1306900420567",2374
"1306900420571",1628
"1306900420586",903
"1306900420590",1687
"1306900420603",1424
"1306900420618",1685
"1306900420622",1241
"1306900420637",1008
"1306900420641",1344
"1306900420656",1538
"1306900420660",1570
"1306900420675",1681
"130690044068A",1199
"1306900440694",620
"1306900440707",504
"1306900440711",844
"1306900440726",864
"1306900440730",1371
"1306900440745",1349
"130690044075A",1351
"1306900440764",1565
"1306900440779",1643
"1306900440783",1390
"1306900440798",1292
"1306900440800",1628
"1306900440815",1004
"130690044082A",988
"1306900440834",579
"1306900440849",1177
"1306900440853",551
"1306900440868",1166
"1306900440872",1250
"1306900440887",963
"1306900440942",244
"1306900440961",1192
"1306900440995",201
"1306900441029",1187
"130690044132A",NA
"1306900501137",744
"1306900501141",664
"1306900501156",670
"1306900501160",560
"1306900501175",1377
"130690050118A",1042
"1306900501194",1103
"1306900501207",NA
"130690050125A",NA
"1306900501264",NA
"1306900501300",NA
"1306900501315",NA
"1306900501349",NA
"1306900550143",1938
"1306900550181",2947
"1306900550196",3016
"1306900551033",3718
"1306900551211",NA
"1306900551226",NA
"1306900551230",NA
"1306900551245",NA
"1306900551279",NA
"1306900551298",NA
"1306900551334",NA
"1307000010021",2987
"1307000010036",5096
"1307000010074",369
"1307000010089",194
"1307000010093",11
"130700002013A",3046
"1307000030040",1315
"1307000030055",1382
"130700003006A",1665
"1307000030144",155
"1307100010052",286
"1307200010045",1608
"130720001005A",255
"1307200010079",2552
"1307200010083",3647
"1307300010127",3594
"1307300010131",2304
"1307300010165",219
"1307300380061",2552
"1307400010054",436
"1307400010069",31
"1307400010105",122
"130740001011A",2135
"1307400010124",3395
"1307400010162",4338
"1307400010177",4202
"1307400010196",30
"1307400020088",2846
"1307400020092",5144
"1307400030139",2505
"1307400030143",2077
"1307400030181",48
"1307500010051",2468
"1307500010066",1083
"1307500010070",1878
"1307500010085",793
"1307500010102",48
"1307500010117",41
"1307500010155",793
"130750001016A",378
"1307500010174",368
"1307500010189",1116
"1307500020121",1717
"1307500020136",952
"1307500020140",1231
"1307500020225",NA
"130750002023A",NA
"1307500020244",NA
"1307500020259",NA
"1307500020263",NA
"1307500020278",NA
"1307500410193",729
"1307500410206",1351
"1307500410210",1754
"1307600010082",2390
"1307600010114",3658
"1307600010237",2214
"1307600010379",2569
"1307600010383",1442
"1307600010398",1750
"1307600010400",2092
"130760001042A",3131
"1307600010434",1185
"1307600010449",1401
"1307600010631",709
"1307600010650",1306
"1307600010665",2241
"1307600010699",81
"1307600010754",185
"1307600010769",12
"130760001081A",1069
"1307600010824",1923
"1307600010843",32
"1307600010985",0
"130760006003A",1507
"1307600060171",1212
"1307600060241",57
"1307600060275",NA
"1307600080453",2934
"1307600080468",2465
"1307600080608",112
"130760008067A",2082
"1307600080684",1839
"1307600080701",2019
"1307600080773",41
"1307600080932",1074
"1307600080947",1244
"1307600080951",104
"1307600080966",1845
"1307600080970",939
"1307600081038",37
"1307600081042",49
"1307600081057",65
"1307600081061",483
"1307600110345",2023
"130760011035A",1799
"1307600110805",169
"1307600110858",13
"1307600220059",2339
"1307600220222",4011
"1307600220523",2155
"1307600220538",2491
"1307600220580",108
"1307600220595",83
"1307600220646",58
"1307600220788",665
"1307600220862",484
"1307600220877",1478
"1307600240078",3492
"1307600240364",489
"1307600240542",1196
"1307600240735",37
"130760024074A",4
"1307600240881",0
"1307600240913",801
"1307600240928",1750
"130760024099A",34
"1307600241023",73
"1307600260129",1699
"1307600260152",809
"130760026028A",308
"1307600260294",633
"1307600260792",141
"1307600271004",1961
"1307600271019",1316
"1307700010018",1281
"1307700010022",2803
"1307700010037",3847
"1307700010060",4184
"1307700010075",4262
"130770001008A",4189
"1307700010111",2613
"1307700010130",67
"1307700010198",15
"1307700010215",3140
"130770001022A",517
"1307700010268",3796
"1307700010272",1899
"1307700010287",3301
"1307700010291",5
"1307700010319",953
"1307700010323",292
"1307700010338",1610
"1307700010342",2408
"1307700010361",179
"1307700010376",407
"1307700010380",1358
"1307700010412",2630
"1307700010465",2731
"130770001047A",2104
"1307700010484",2804
"1307700010499",1470
"1307700010501",929
"1307700010516",1777
"1307700010520",1609
"1307700010535",2015
"130770001054A",2478
"1307700010573",2574
"1307700010588",1930
"1307700010592",2794
"1307700010605",1854
"130770001061A",3012
"1307700010624",2532
"1307700010639",819
"1307700010643",61
"1307700010658",1995
"1307700010662",2849
"1307700010677",2673
"1307700010681",711
"1307700010696",1313
"1307700010709",3186
"1307700010713",2184
"1307700010747",41
"1307700010751",66
"1307700010817",287
"1307700010821",876
"1307700010836",81
"1307700010840",1168
"1307700010889",748
"1307700010893",191
"1307700010906",158
"1307700010910",838
"1307700010959",656
"1307700010963",63
"1307700010978",1223
"1307700010982",1711
"1307700010997",1492
"1307700011001",1432
"1307700011035",97
"130770001104A",318
"1307700011177",420
"1307700011181",137
"1307700011213",NA
"1307700030408",1464
"1307700031209",1136
"1307700100431",3088
"1307700100446",2776
"1307700100802",1662
"1307700101016",25
"1307700101020",51
"1307700101139",255
"1307700101196",116
"1307700180554",2008
"1307700180569",3047
"1307700180728",84
"1307700180855",92
"130770018086A",0
"1307700201088",1808
"1307700201092",1294
"1307700201105",550
"1307700201162",43
"1307700530770",2167
"1307700530785",2743
"1307700530874",2839
"1307700680925",2092
"130770068093A",2331
"1307700680944",2614
"1307700681054",228
"1307700681069",364
"1307700681073",48
"1307700681143",140
"1307700681158",0
"130770108111A",2362
"1307701081124",2264
"1307800010034",1593
"1307900010065",706
"130790001007A",595
"1308000010032",1389
"1308000170047",4941
"130810001003A",193
"1308100010044",180
"1308100010082",220
"130810001010A",1549
"1308100010114",1092
"1308100010148",3252
"1308100010152",1556
"1308100010167",3199
"1308100010171",2153
"1308100010186",1657
"1308100010190",351
"1308100010218",96
"1308100010222",173
"1308100010237",250
"1308100010241",2083
"1308100010256",2504
"1308100010260",3724
"1308100010275",3178
"130810001028A",89
"1308100010307",1561
"1308100010311",123
"1308100010326",289
"1308200010145",37
"1308200010179",1618
"1308200010183",1045
"1308200010287",1609
"1308200010291",641
"1308200010342",28
"1308200020056",1922
"1308200020126",1896
"1308200020164",65
"1308200020198",1857
"1308200020200",1149
"1308200020215",1359
"1308200020249",31
"1308200020268",1298
"1308200020272",1441
"1308200030304",1787
"1308200030319",1459
"1308200030323",821
"1308200030338",1108
"1308300010087",29
"1308300010119",1007
"1308300010123",463
"1308300010138",106
"1308300010157",1244
"1308300010180",1208
"1308300010195",1528
"1308300010208",53
"1308300010231",439
"1308300010246",455
"1308300010250",355
"1308300010265",318
"130830023027A",1857
"1308300230284",1782
"1308300260299",1168
"1308300260301",617
"1308300260316",729
"1308301020161",1158
"1308301020176",1749
"1308301020509",709
"1308301020513",541
"1308301330015",40
"1308301330320",1755
"1308301330335",1409
"130830133034A",2491
"1308301330354",1267
"1308301330369",1701
"1308301330373",94
"1308301330388",349
"1308301330392",466
"1308301330405",509
"130830133041A",101
"1308301330424",1180
"1308301330439",1728
"1308301330443",431
"1308301330458",1050
"1308301330462",275
"1308301330477",825
"1308301330481",1854
