"device_IDs","hogares"
"amp0NDFsdG90ZnM1OmM1c3N0c2Vna2c5ZWU=","1304800011601"
"ampiZTBtZTFkazIzOjc0YzVjbHVpcWFnYzg=","1306100010677"
"amprNXJxN3U1bm5oOjUwNjJ1aTlubmdzaGo=","1304800011599"
"ampuaGpkYzIyNGprOmY2bjBvOXU5Yjk2ZTI=","1304800012417"
"ampvY3Ewa2ExN3E3OjVuMnM1dXFhM3UwNGo=","1304800010389"
"amQ1ZTdjNWU5YzBrOjFucWhoN2pncHNyYXA=","1304800011565"
"amR0dW8yZThzdGY0OjZjMGwwYTAwaGlqOWo=","1305100291202"
"amRkNHFkazZvNWxwOjhqanBnNjZndmM5ODU=","1304800010980"
"amRnYjgwMjA0ZjIyOmVxYmR2MnU2YjRmZGg=","130480001004A"
"amszcDNsNHQ4ZGQ6N3Y0cDNwOTlka2c3cg==","1304800010209"
"amtmcDY0aWR2a2RmOmRjY2U3NjAzcGdnZmw=","130030033"
"amtmMjczMmxvdWs2OjE0aTlrMjU0ZzFqNmw=","1305100291202"
"amttajF0aG92bW1rOjk5MmY3YmxtMjUwOGs=","1304800010891"
"amU0bjhnc2xmYWFoOjlyZzdoNHYxdXBzNHI=","130480270"
"amU0YmYxaXB1cGNwOmI4c2FjYTF2NWxndXM=","1308200020056"
"amViNHJpMGhmZ3QwOmJxaWFqbTIzcTYwdjE=","1304800011387"
"amVla2l0bzhmZzZsOjY1ZjJrY2JuaWw0MTA=","1306900080213"
"amVpdXZ0cnZuMmVwOmM3bnFjZHRrcWllb3A=","1304800010529"
"amVsbjZkNnQxbDB1OmVmczhoM2E4NmFzcmQ=","130480001036A"
"amY4MW42MWltN2JoOjRzNTEzdGdjcnVjZHY=","130510027069A"
"amZuYTJncTlpOXVqOmE4Nzd0NjZiMzdtb3U=","130690001004A"
"anA0N2kxZXVlNWtkOjdzYTFvaDg2YTdndXI=","1304800012417"
"anA3cWhicWpvbTd2OmVnajJ1M2dwdjNpMXY=","1304800012347"
"anBhMmQxNmZvNGQ6Nm9jbWF0N3VnZmc2aA==","1304800012347"
"anBjdWJoc25laDdwOjgzdG5kNTd1Z3YzaTA=","1308200030338"
"anBvYjlxbGxzbDRzOmg2cHU4cTYxbmpuNw==","130690016_I"
"anE0Z2EyNWV0cjB2OmVhYnVsN2QwcXNwajQ=","1305200010292"
"anFlOGcxbG5ocnJ1OmJkZGE0djNwMmtzdWQ=","1304800010976"
"anFrOHI5cGg2aGJxOjI0MG90M3MycTVldTM=","13056015A"
"anJhN2FhY2g3OWRpOmVqbjU4M28yY3ZnZzE=","1304800010209"
"anJwYjA5djJmY2M5OjVrODU2bXB2cmlydWs=","130670009044A"
"anM0djU5NmU2ZDNjOmQ3YTNxMTdiNjhnNW0=","1304800010389"
"anM2dTIwcHBkczg6Ym5hYjNwNHEzOWE2bQ==","1304800011423"
"anNlbTlzaHNoNmJ2OmFvZDYzM25tNzhkdTY=","130220024"
"anQ0a2JnazNoMW05OjRpbDJ0MG4zdTRzb2Q=","1304800010139"
"anQ0b2ZjYjZoZmRnOmJnbGIwdWk2MDVzbnQ=","1304800010209"
"anRzMHByZmN2c3JvOjIwbjZlYWhwbGQ1dTE=","1304800012347"
"anRzNmkzODRlMmE3Ojg3bDNoYzk5NWdtNTc=","1304800012614"
"anU3aTBmZmJmbGg5OjNwNG45dnI3bXU4YmM=","130480001260A"
"anU4NDZodG5ibDA5OmIwdDdmOTRsaHR1Mmg=","1306900100529"
"anUxY2lwczlxYXM0OmE5Z2U4c2F1bHE5ZWg=","1305101011344"
"anVpdTljMzJnaWVsOjQwaWJsN2trYnA3aDA=","1304800010919"
"anVxcmZxMTFrY2twOjMxZzV0bW5ic2hxbjE=","1304800011048"
"anY4djMxcWJqZ3JlOjMwNm82dmhlbWNtdGY=","1306900020957"
"anZ2dXRjYTNuY2J2OjUzYWhuazVrZXQ2bTg=","1304800011052"
"anZiOW9sdWZoYmxnOmRydTk1ZGhybzF0N20=","1304800010196"
"anZmcHZhYmo2YnZ0OjJlazFhNzYxZDBlcHY=","1304800010976"
"anZmNTBoYmp0cTI5OmNsa3RpajIydXQya2Y=","1304800010406"
"anZnZ2M5cTRtb3RlOmVya2g2aGE1ZTVqbnI=","1306600010137"
"aTA2cmdra3N2b2RoOmFtOWZpMzhhbDZlN2o=","1306900190410"
"aTA5NzR2cTZrNG1pOjE2aDIwZmM5Z3RxZ3M=","1304800011531"
"aTc5OGNxa29tbmhsOjFndDlhOHFraW02YnM=","1305100291202"
"aTdmajk5OWFuYmhkOjNxbHN2OTc3amxjM2w=","1304800012347"
"aTdvajZxdW1hY3J2OjFyMDdtOGM4MWhpZTQ=","1304800010209"
"aTdzY2w5Y3ExN2kxOmM0NXRtMHQxbGdoazc=","1302100010065"
"aTEwamtiYWxiNjFvOjVjOThyZDBidWI3M3M=","1304800011599"
"aTFtOGVlcjBjbzI5OjdqbDRzcG43Yzdta28=","130220024"
"aTFvZm1pdDljOW8zOjExNHQwbTQ1aWUzcWQ=","1304800010618"
"aTgxOTRma2dmaXBmOjRzZHZvZzA0cHNwM28=","1304800010923"
"aTgyaWdrZzlkbzk0OjZwMzBlMHJvNTdnYmE=","1306900080213"
"aTh0azZzMDdhMnZnOjlrdmg3aDIwMmdmMWw=","1304800012347"
"aThhNnA4cjhtczdxOmNpbXJpbmo5a2RmaTY=","13038001A"
"aThtZm5sM2VnNGhjOjV0ZXNoNW1kb2I3cnI=","1304800011550"
"aTIzNzBhZ2Fkb3I2OjVxanAybWFqaWd0dGw=","130210012"
"aTJhYW9na2V1MGg6YjhvNG1vb2c1Z2Fo","1306600010029"
"aTJkajFrczFkMmJjOmZydmczanV0OWRjNWg=","1300300010160"
"aTJscHNhb2Y0aTJlOjNydW9iMmVzN2x2NHI=","1304800012493"
"aTJubjVyMzNlMGppOjVjdHBzOWYyZTNsNW8=","130220024"
"aTkyYm1hYThjM3Y4Ojdvb2dsNmN1anE0MWs=","130050005024A"
"aTlsYzVqN3Y3MTE6ZDVucjY4ZDRpNXZyMw==","1306900051086"
"aTNhMzNoZ2hjaGZpOmxvM29oNnBiZW5hMA==","1307700010696"
"aTNsbDZ2MWx1Mm8wOjVudmJlaWRjMWp2cTQ=","1304800012347"
"aTNucmZrdG9jYWdpOmRiNDZnYzVvMTZ0Mmw=","1304800012417"
"aTNudDFia2JwdDRhOmJ0ZWxrcGJ1a3VobWo=","1300300010226"
"aTNyanZjOGM4cHMyOmVkY2U2MGYxbzZtZTQ=","130690016_I"
"aTQ2aDNhcm9xaGk1OjJxcDg5MjVmazYyYzk=","1302100010050"
