"hogares","conteo","POB1"
"1304800012737",6,764
"1304800012741",78,1139
"1304800012756",6,300
"1304800012760",18,793
"1304800012775",17,916
"130480001278A",8,230
"1304800012807",5,454
"1304800012811",7,680
"1304800012826",2,142
"1304800012830",1,479
"1304800012845",81,2715
"130480001285A",95,1376
"1304800012883",6,562
"1304800012915",20,1095
"130480001292A",54,2455
"1304800012934",66,1820
"1304800012953",2,201
"1304800012972",15,507
"1304800013006",1,31
"1304800013010",7,444
"1304800013025",2,318
"130480001303A",3,451
"1304800013044",6,254
"1304800013059",10,138
"1304800013063",6,797
"1304800013078",48,2041
"1304800013082",5,107
"1304800013097",5,135
"130480001310A",9,953
"1304800013114",43,1455
"1304800013129",34,472
"130480016",50,2269.36161233686
"130480020_R",1,6.00704730541496
"130480020_V",134,4876.50227061233
"1304801532898",5,1037
"1304801532900",22,2203
"1304801580571",2,87
"1304801582686",10,966
"1304801582690",13,1644
"1304801582703",11,865
"1304801582718",15,1096
"130480270",42,1198.60381399877
"130482671_F",1,31.817556759511
"130482671_M",3,94.7076989871243
"1305000010090",1,4036
"130500029",1,2106.99415678316
"1305100010153",5,132
"1305100010168",83,3644
"1305100010187",11,620
"1305100010191",69,2055
"1305100010204",68,2399
"1305100010581",7,223
"1305100012126",4,256
"1305100030219",31,1570
"1305100030223",38,1750
"1305100032094",5,1157
"1305100041077",49,1649
"1305100041109",10,793
"1305100101113",15,1447
"1305100101128",132,1491
"1305100121132",14,995
"1305100141147",25,666
"1305100141151",113,2733
"1305100201170",58,602
"1305100231185",30,1861
"130510026119A",28,819
"1305100270115",2,138
"1305100270666",42,2338
"1305100270670",57,3468
"1305100270685",61,1849
"130510027069A",28,1924
"1305100270702",32,2539
"1305100270717",44,2797
"1305100270721",103,2262
"1305100270736",46,2160
"1305100270929",13,528
"1305100270933",1,45
"1305100270952",9,201
"1305100270967",7,605
"130510027101A",2,0
"1305100271062",24,606
"1305100271965",16,815
"1305100272060",7,383
"1305100291202",85,1958
"1305100541217",6,722
"1305100551221",74,2778
"1305100591927",1,12
"1305100601236",56,297
"1305100631240",40,2213
"1305100631255",79,2105
"130510063126A",49,1261
"130510078165A",50,2524
"1305100781664",35,2155
"1305100781679",28,1991
"1305100831931",16,1714
"1305100831946",14,1206
"1305100831950",20,2669
"1305100831984",11,930
"1305100831999",1,235
"1305100842357",21,1313
"1305100842361",17,1332
"1305100842376",31,1917
"1305100901274",24,522
"1305100911289",57,841
"1305100921683",37,604
"1305100931293",78,2834
"1305100931306",136,3028
"1305100941310",31,368
"1305100951698",74,1867
"1305100961700",111,3021
"1305100971325",16,207
"1305100981715",5,629
"130510099172A",136,4027
"130510100133A",32,1950
"1305101002022",15,572
"1305101002075",1,54
"1305101011344",17,889
"1305101011359",37,1018
"1305101021363",11,55
"1305101031378",9,445
"1305101041382",6,583
"1305101051397",10,438
"1305101061734",44,2026
"130510107140A",66,3003
"1305101081414",109,1726
"1305101091429",10,287
"1305101101749",4,257
"1305101111753",12,726
"1305101121433",4,259
"1305101131448",30,1245
"1305101141452",3,112
"1305101151768",3,296
"1305101171787",13,383
"1305101181166",20,457
"1305101191467",12,1055
"1305101201471",14,593
"1305101211486",10,567
"1305101221791",11,451
"1305101231804",16,577
"1305101241490",5,464
"1305101251819",9,295
"1305101261823",13,1097
"1305101271838",2,573
"1305101281503",1,392
"1305101291518",1,325
"1305101301842",38,1406
"1305101311857",8,454
"1305101321861",8,368
"1305101331522",23,1814
"1305101341876",19,1058
"1305101351537",19,506
"1305101361541",14,773
"1305101371556",18,762
"1305101381880",27,1440
"1305101391560",43,2787
"1305101391575",36,2154
"130510139158A",74,3380
"1305101392037",24,1910
"130510139208A",3,86
"1305101401594",21,452
"1305101411895",56,2155
"1305101421908",57,1877
"1305101431607",14,785
"1305101441611",10,298
"1305101451912",2,209
"1305101461626",89,2501
"1305101471630",53,1815
"1305101471645",55,3293
"1305101482107",11,1091
"1305101482111",17,1019
"1305101482130",17,1129
"1305101482145",12,1409
"130510148215A",13,1451
"1305101482164",13,810
"1305101482179",3,400
"1305101482183",20,2340
"1305101482198",14,2072
"1305101482200",19,1227
"1305101482215",11,1035
"130510148222A",10,956
"1305101482234",10,635
"1305101482249",13,1050
"1305101482253",12,899
"1305101482268",21,1008
"1305101482272",22,1142
"1305101482287",24,481
"1305101482291",13,666
"1305101482304",17,1203
"1305101482408",1,NA
"1305101482412",2,NA
"1305101512319",38,3747
"1305101512323",2,723
"1305101512338",1,366
"1305101512342",2,319
"1305101522380",16,1657
"1305101522395",69,2981
"130510562_A",61,4927.84651343417
"130510577_I",85,890.387259978454
"130510577_Z",581,12152.4861816981
"1305200010095",12,2000
"1305200010269",13,2170
