"hogares","conteo","POB1"
"1304800010285",27,2414
"1304800010355",128,1754
"130480001036A",91,1981
"1304800010389",444,3359
"1304800010406",108,3179
"1304800010425",178,1692
"1304800010444",31,1547
"1304800010478",110,4944
"1304800010529",297,1715
"1304800010548",119,212
"1304800010586",115,1994
"1304800010590",23,2817
"1304800010603",26,2104
"1304800010618",37,3256
"1304800010622",86,2299
"1304800010694",6,696
"1304800010745",56,2802
"130480001075A",32,0
"1304800010764",172,2894
"1304800010779",209,780
"1304800010783",75,2771
"1304800010815",48,1816
"130480001082A",12,2284
"1304800010834",36,1391
"1304800010849",17,1086
"1304800010853",14,2153
"1304800010868",45,1790
"1304800010872",20,1063
"1304800010891",27,1984
"1304800010904",12,1692
"1304800010919",253,3373
"1304800010923",141,2762
"1304800010938",88,1409
"1304800010942",58,2915
"1304800010957",23,1188
"1304800010961",81,2106
"1304800010976",299,1586
"1304800010980",123,2786
"1304800010995",101,4035
"130480001100A",51,3054
"1304800011014",2,NA
"1304800011048",65,2441
"1304800011052",111,4039
"1304800011067",35,1860
"1304800011071",22,1421
"1304800011090",28,2255
"1304800011118",62,2722
"1304800011122",57,3004
"1304800011137",54,2456
"1304800011156",44,2863
"130480001118A",11,1531
"1304800011194",14,1811
"1304800011207",9,NA
"1304800011245",43,2499
"1304800011264",13,1495
"1304800011298",27,1280
"1304800011300",26,916
"1304800011315",6,239
"1304800011349",5,353
"1304800011353",1,114
"1304800011372",21,1113
"1304800011387",32,1560
"1304800011391",18,1387
"1304800011404",64,1068
"1304800011419",32,2768
"1304800011423",90,515
"1304800011438",19,1837
"1304800011442",6,559
"1304800011457",9,449
"1304800011476",13,461
"1304800011508",24,2353
"1304800011512",31,904
"1304800011527",43,2517
"1304800011531",71,2993
"1304800011546",84,1976
"1304800011550",381,638
"1304800011565",37,2041
"1304800011599",122,2532
"1304800011601",22,1928
"1304800011847",57,0
"1304800011917",3,449
"1304800011921",15,437
"1304800011936",54,1825
"1304800011940",86,2475
"1304800011955",38,1279
"130480001196A",85,1995
"1304800011974",14,1233
"1304800011989",33,1956
"1304800011993",37,1938
"1304800012008",63,1772
"1304800012031",8,696
"1304800012046",10,979
"1304800012050",5,651
"1304800012101",42,2081
"1304800012116",13,1123
"1304800012120",67,3710
"1304800012135",29,2131
"130480001214A",50,1995
"1304800012154",18,1794
"1304800012169",26,2500
"1304800012173",41,1656
"1304800012188",37,1967
"1304800012192",55,3757
"1304800012239",3,202
"1304800012243",1,171
"1304800012258",1,85
"1304800012262",13,1186
"1304800012313",15,106
"1304800012328",120,1129
"1304800012332",24,1139
"1304800012347",552,2074
"1304800012351",76,1784
"1304800012366",73,2208
"1304800012370",50,1250
"1304800012385",24,1562
"130480001239A",50,1140
"1304800012402",83,1254
"1304800012417",335,652
"1304800012421",68,938
"1304800012436",1,453
"1304800012440",10,1104
"1304800012455",4,490
"130480001246A",1,196
"1304800012474",19,1495
"1304800012489",1,349
"1304800012493",22,2042
"1304800012506",11,1384
"1304800012510",23,1168
"1304800012525",8,918
"130480001253A",23,1481
"1304800012544",27,1398
"1304800012559",25,522
"1304800012563",19,1783
"1304800012578",5,742
"1304800012582",8,1366
"130480001260A",18,564
"1304800012614",30,250
"1304800012629",12,774
"1304800012633",3,1026
"1304800012648",18,3219
"1304800012652",19,3547
"1304800012667",9,2918
"1304800012722",41,101
"1304800012737",3,764
"1304800012741",45,1139
"1304800012756",7,300
"1304800012760",26,793
"1304800012775",17,916
"130480001278A",2,230
"1304800012794",1,15
"1304800012807",9,454
"1304800012811",4,680
"1304800012830",3,479
"1304800012845",47,2715
"130480001285A",50,1376
"1304800012864",3,75
"1304800012883",3,562
"1304800012915",11,1095
"130480001292A",18,2455
"1304800012934",42,1820
"1304800012949",4,15
"1304800012953",1,201
"1304800012972",6,507
"1304800013006",4,31
"1304800013010",1,444
"130480001303A",5,451
"1304800013044",1,254
"1304800013059",2,138
"1304800013063",6,797
"1304800013078",33,2041
"1304800013082",1,107
"1304800013097",4,135
"130480001310A",8,953
"1304800013114",20,1455
"1304800013129",16,472
"130480016",51,2269.36161233686
"130480020_R",2,6.00704730541496
"130480020_V",123,4876.50227061233
"1304801532898",11,1037
"1304801532900",9,2203
"1304801582686",9,966
"1304801582690",4,1644
"1304801582703",3,865
"1304801582718",4,1096
"130480270",90,1198.60381399877
"130482671_F",4,31.817556759511
"130482671_M",3,94.7076989871243
"1305000010048",1,3851
"1305000010052",2,5318
"1305100010153",18,132
"1305100010168",31,3644
"1305100010187",4,620
"1305100010191",58,2055
"1305100010204",112,2399
"1305100010581",1,223
"1305100012041",3,199
"1305100012126",3,256
"1305100030219",22,1570
"1305100030223",29,1750
"1305100032094",5,1157
"1305100041077",27,1649
"1305100041109",9,793
"1305100101113",7,1447
"1305100101128",197,1491
"1305100121132",16,995
"1305100141147",47,666
"1305100141151",129,2733
"1305100201170",43,602
"1305100231185",15,1861
"130510026119A",34,819
"1305100270115",6,138
"1305100270666",21,2338
"1305100270670",27,3468
"1305100270685",70,1849
"130510027069A",17,1924
"1305100270702",13,2539
"1305100270717",33,2797
"1305100270721",83,2262
"1305100270736",17,2160
"1305100270929",4,528
"1305100270952",7,201
"1305100270967",3,605
"130510027101A",1,0
"1305100271062",36,606
"1305100271965",14,815
"130510027197A",3,0
"1305100272060",8,383
"1305100291202",170,1958
"1305100541217",7,722
"1305100551221",50,2778
"1305100591927",6,12
"1305100601236",107,297
"1305100631240",24,2213
"1305100631255",54,2105
"130510063126A",31,1261
"130510078165A",27,2524
"1305100781664",16,2155
"1305100781679",25,1991
"1305100831931",14,1714
"1305100831946",6,1206
"1305100831950",14,2669
"1305100831984",6,930
"1305100831999",1,235
"1305100842357",19,1313
"1305100842361",6,1332
"1305100842376",11,1917
"1305100901274",26,522
"1305100911289",38,841
"1305100921683",47,604
"1305100931293",33,2834
"1305100931306",89,3028
"1305100941310",10,368
"1305100951698",42,1867
"1305100961700",70,3021
"1305100971325",24,207
"1305100981715",2,629
"130510099172A",51,4027
"130510100133A",9,1950
"1305101002022",7,572
"1305101011344",5,889
"1305101011359",69,1018
"1305101021363",29,55
"1305101031378",8,445
"1305101041382",5,583
"1305101051397",2,438
"1305101061734",19,2026
"130510107140A",34,3003
"1305101081414",95,1726
"1305101091429",4,287
"1305101101749",7,257
"1305101111753",4,726
"1305101121433",1,259
"1305101131448",11,1245
"1305101141452",4,112
"1305101151768",3,296
"1305101171787",2,383
"1305101181166",12,457
"1305101191467",9,1055
"1305101201471",4,593
"1305101211486",3,567
"1305101221791",6,451
"1305101231804",5,577
"1305101241490",5,464
"1305101251819",3,295
"1305101261823",3,1097
"1305101271838",4,573
"1305101281503",2,392
"1305101291518",2,325
"1305101301842",25,1406
"1305101311857",4,454
"1305101321861",6,368
"1305101331522",14,1814
"1305101341876",5,1058
"1305101351537",13,506
"1305101361541",10,773
"1305101371556",7,762
"1305101381880",21,1440
"1305101391560",25,2787
"1305101391575",23,2154
"130510139158A",31,3380
"1305101392037",13,1910
"130510139208A",1,86
"1305101401594",13,452
"1305101411895",46,2155
"1305101421908",25,1877
"1305101431607",7,785
"1305101441611",3,298
"1305101451912",5,209
"1305101461626",36,2501
"1305101471630",33,1815
"1305101471645",27,3293
"1305101482107",14,1091
"1305101482111",10,1019
"1305101482130",10,1129
"1305101482145",10,1409
"130510148215A",8,1451
"1305101482164",6,810
"1305101482179",4,400
"1305101482183",6,2340
"1305101482198",9,2072
"1305101482200",6,1227
"1305101482215",2,1035
"130510148222A",2,956
"1305101482234",3,635
"1305101482249",8,1050
"1305101482253",8,899
"1305101482268",6,1008
"1305101482272",8,1142
"1305101482287",12,481
"1305101482291",8,666
"1305101482304",3,1203
"1305101482412",2,NA
"1305101512319",25,3747
"1305101512323",2,723
"1305101512338",1,366
"1305101512342",3,319
"1305101522380",15,1657
"1305101522395",43,2981
"130510562_A",160,4927.84651343417
"130510577_I",73,890.387259978454
"130510577_Z",400,12152.4861816981
"1305200010095",9,2000
"1305200010108",1,155
"1305200010269",15,2170
"1305200010273",6,2099
"1305200010288",24,2576
"1305200010292",21,2689
"130520019",21,5376.34686248746
"130520019031A",14,1845
"1305200190324",5,1225
"130520023",254,4012.46772460778
"130520038",11,8966.47975011471
"130520080",1,5137.70566279005
"130540013",2,15635.4451414826
"1305400190102",2,3607
"1305400320136",1,1472
"130540117",2,419.174427806332
"1305600010304",1,1063
"1305600360272",1,2598
"130560145",1,181.598350125933
"13056015A",1,13354.4016498741
"13057002A",7,2546.067498883
"130570049",1,3856.27163154129
"130580031",1,5232.68587930155
"1306100010573",2,2352
"1306100010681",1,1056
"1306100020380",1,986
"1306100020431",1,1320
"1306100020450",2,1678
"1306100020465",1,1495
"1306100020520",1,1427
"130610002054A",1,702
"1306100020658",3,2145
"130630031",1,7776.09336419357
"1306600010029",1,1824
"1306600010048",4,3015
"1306600010137",2,1090
"1306600080118",3,1862
"1306600080122",1,893
"130660014",13,4064
"130690001004A",8,167
"1306900010054",3,276
"1306900010069",20,2779
"1306900010073",89,2986
"1306900010177",31,4172
"1306900010232",8,2478
"1306900010251",1,42
"1306900010266",5,147
"130690001029A",19,1704
"1306900010374",36,1745
"1306900010980",21,1834
"1306900020482",17,1296
"1306900020497",22,1066
"130690002050A",66,1919
"1306900020514",12,956
"1306900020904",1,29
"1306900020919",5,437
"1306900020923",9,2
"1306900020957",25,1324
"1306900021283",1,NA
"1306900051048",14,981
"1306900051052",19,645
"1306900051067",21,716
"1306900051071",36,1706
"1306900051086",28,1227
"1306900051090",30,1334
"1306900051103",71,1189
"1306900051118",34,1602
"1306900051122",33,587
"1306900080213",48,2228
"130690008043A",10,1797
"1306900080444",13,1780
"1306900100529",77,1129
"1306900100533",46,1797
"130690016_I",584,5916.99765268974
"130690016_J",1,3068.81476052966
"130690016_P",4,29.8798725723126
"130690016_S",8,48.518770883375
"1306900190410",107,4623
"1306900190425",55,2368
"1306900190938",10,853
"1306900190976",13,462
"1306900420548",14,986
"1306900420552",23,1622
"1306900420567",31,2374
"1306900420571",40,1628
"1306900420586",15,903
"1306900420590",49,1687
"1306900420603",12,1424
"1306900420618",14,1685
"1306900420622",36,1241
"1306900420637",25,1008
"1306900420641",18,1344
"1306900420656",25,1538
"1306900420660",15,1570
"1306900420675",43,1681
"130690044068A",24,1199
"1306900440694",22,620
"1306900440707",7,504
"1306900440711",7,844
"1306900440726",23,864
"1306900440730",25,1371
"1306900440745",21,1349
"130690044075A",20,1351
"1306900440764",16,1565
"1306900440779",34,1643
"1306900440783",10,1390
"1306900440798",2,1292
"1306900440800",24,1628
"1306900440815",26,1004
"130690044082A",29,988
"1306900440834",52,579
"1306900440849",1,1177
"1306900440887",35,963
"130690044132A",35,NA
"1306900501175",9,1377
"130690050118A",31,1042
"1306900501194",12,1103
"1306900501300",1,NA
"1307200010045",1,1608
"1307200010079",1,2552
"1307200010083",1,3647
"1307400010162",1,4338
"1307400020092",1,5144
"1307500010051",6,2468
"130750001016A",1,378
"1307500010189",1,1116
"1307500020121",4,1717
"1307500020136",2,952
"1307500020140",1,1231
"130750013_Q",34,3708.59644789157
"1307500410193",1,729
"1307500410206",5,1351
"1307500410210",3,1754
"1307600080684",1,1839
"130760025",1,6309.03536904898
"130760044",1,8074.23524828483
"1307700010075",1,4262
"130770001008A",1,4189
"1307700010111",2,2613
"1307700010130",1,67
"1307700010215",2,3140
"1307700010268",1,3796
"1307700010319",1,953
"1307700010338",1,1610
"1307700010380",1,1358
"1307700010501",1,929
"130770001054A",1,2478
"1307700010573",1,2574
"1307700010588",2,1930
"1307700011177",1,420
"1307700031209",1,1136
"1307700100431",1,3088
"1307700100802",1,1662
"1307700101139",1,255
"1307700101196",1,116
"1307700680925",1,2092
"130770164_X",8,7169.83053996414
"130770179",7,3434.73481884672
"130810010",1,3237.84419167172
"1308200010145",2,37
"1308200010179",25,1618
"1308200010183",14,1045
"1308200010287",34,1609
"1308200010291",19,641
"1308200010342",1,28
